title,id,type:type,meta:description,tag:1,tag:2,tag:3,tag:4,content:description,time:begin,time:end,thumbnail,meta:country,meta:outside link
Charles Sury,80,Person,IIB Librarian,Sociology,Library,Feminism,,Charles Sury was the librarian of the International Federation for Information and Documentation,,,blank.jpg,Belgium,
Congrès de Copenhague,81,Event,Congress,Science,Literature,,,"In 1935 took place in Copenhagen, the congress of documentation and the  congress for the unity of science",,,blank_event.jpg,Denmark,
Jean Delville,82,Person,Painter and poet,Painting,Art,,,"Jean Delville is a painter, poet and theoretician of art. He is very influenced in his works by esotericism. He will exhibit his paintings at the Palais Mondial and in particular his Prométhée that can be seen on archival photos",1867,1953,DelvilleJean.jpg,Belgium,https://fr.wikipedia.org/wiki/Jean_Delville
République métapolitique et supranationale,83,Organization,Institution,Politics,,,,Paul Otlet is the representative for Belgium. The project secretariat is located at the Palais Mondial.,,,blank_organization.jpg,,
Henry-Léon Follin,84,Person,Creator of the metapolitical and supranational Republic,Politics,Economy,,,"Henry-Léon Follin is an author and activist for the establishment of a supranational and cosmopolitan institution.In 1896, he published a book with liberal perspectives.",1866,1949,blank.jpg,France,
François Garas,85,Person,Architect and painter,Architecture,,,,"François Garas is a French architect who will be inspired by Otlet's work, especially around the Mundaneum.",1966,,blank.jpg,France,https://fr.wikipedia.org/wiki/Fran%C3%A7ois_Garas
George Sarton,86,Person,Science historian,History,,,,"Georges Sarton is a science historian. He gave a conference in 1913 after the invitation of Otlet for the second world congress of the Union of international associations. Forced to flee Belgium, he became an academic in the United States after having received the support of the Carnegie foundation.",1884,1956,blank.jpg,Belgium,https://fr.wikipedia.org/wiki/George_Sarton
Milisa Coops,87,Person,Assisted Otlet in the preparation of his Treaty on documentation,Library,Documentation,,,"Wilhelmina Emilia Suzanna Coops, known as Milisa Coops is the daughter of Johan Willem Georg Coops, a friend of Paul Otlet. She comes to help Paul Otlet in his task of formatting the Treatise on Documentation. She calls Otlet her uncle. She then made a career as a librarian, notably at Unesco",1912,2006,blank.jpg,The Netherlands,
Adolphe Quetelet,88,Person,Researcher,Mathematics,Astronomy,Biology,Statistics,"Lambert Adolphe Jacques Quetelet is an eclectic scientist who initiated many scientific institutions, including an observatory in Brussels, the first international congress of statistics and the first international maritime conference leading to the creation of the International Meteorological Organization.",1796,1874,QueteletAdolphe.jpg,Belgium,https://fr.wikipedia.org/wiki/Adolphe_Quetelet
Albert Thomas,89,Person,Activist,Politics,,,,"He is a trade unionist activist, member of the French Section of the Workers' International (SFIO) which will become the French Socialist Party. During the First World War, he was the minister in charge of armaments and work in time of war. He later became the first director of the International Labour Office, an institution attached to the League of Nations (League of Nations).",1878,1932,ThomasAlbert.jpg,France,https://fr.wikipedia.org/wiki/Albert_Thomas_(homme_politique)
Aleksandr Nikolaevich Briantchaninoff de Starya Lipy,90,Person,Diplomat,Sociology,Psychology,,,"President of the Russian National Association for the League of Nations, member of the international associations of sociology and psychology, he is committed to the creation of a ""European federative union"" as well as the League of Nations (League of Nations).",1871,1960,blank.jpg,Russia,https://gallica.bnf.fr/ark:/12148/bpt6k887188k/f115.image
André Colet,91,Person,Documentalist,Education,Library,,,He was the Secretary General of the Palais Mondial-Mundaneum after many years of constibution there. He will also make important legacy to the institution.,1896,1978,ColetAndre.jpg,Belgium,
Annie Besant,92,Person,Activist,Politics,Journalism,,,"Annie Besant was a politician and theosophist. She pursued a political career committed to the workers' struggle, women's rights, freedom of opinion and finally for the independence of India. After her studies in science at University College London, she taught public courses in popular education. She will be at the initiative of the meeting between Otlet, Delville and Khrisnamurti.",1847,1933,BesantAnnie.jpg,United Kingdom,https://fr.wikipedia.org/wiki/Annie_Besant
Charles Langlois,93,Person,Librarian,History,,,,"He undertakes a university career in history and serves as director of the National Archives between 1922 and 1923. He is elected to the Académie des inscriptions et belles-lettres in 1917 and becomes its president in 1925. In the meantime he is also president of the Société de l'Histoire de France. A jurist, archivist and intellectual figure of knowledge organization, he examines Otlet's projects but perceives him as megalomaniac. He is therefore rather an adversary of the Otlet's projects.",1863,1929,LangloisCharles.jpg,France,https://fr.wikipedia.org/wiki/Charles-Victor_Langlois
Charles Ammi Cutter,94,Person,Researcher,Library,,,,"Charles Ammi Cutter he took up a position in the library of the Havard Divinity School in 1856. His career led him to become a library specialist: he became chief curator and worked on his own classification technique, Expansive Classification, which led him into conflict with Melvil Dewey.",1837,1903,CutterCharlesAmmi.jpg,United States,https://www.reseau-canope.fr/savoirscdi/societe-de-linformation/le-monde-du-livre-et-de-la-presse/histoire-du-livre-et-de-la-documentation/biographies/charles-ammi-cutter-1837-1903-bibliothecaire-americain-pere-de-lexpansive-classification.html
Désiré-Joseph Mercier,95,Person,Activist,Theology,Philosophy,,,"Often referred to as ""Cardinal Mercier"", he is the forerunner of ecumenism: a gathering of the different currents of Christianity, despite their doctrinal differences. While Belgium was occupied by the Germans, he became a figure of the moral resistance he embodied in the country.",1851,1926,MercierDesireJoseph.jpg,Belgium,https://fr.wikipedia.org/wiki/D%C3%A9sir%C3%A9-Joseph_Mercier
Fellows Dorkas,96,Person,Librarian,Classification,Documentation,,,"She is an author and cataloguing instructor at the New York State Library School. She wrote Melvil Dewey's Decimal Classification from 1921 to 1937, 13 editions, the last of which was published in 1932 with 1,647 pages. She died during the preparation of the 14th edition.",1873,1938,DorkasFellows.jpg,United States,https://en.wikipedia.org/wiki/Jennie_Dorcas_Fellows
Franz Funck-Brentano,97,Person,Opponent to Otlet,Archives,Art,Journalism,,"He catalogues historical documents and studies the Middle Ages, the Ancien Régime, Parisian life and other themes. He is led to study the diffusion of French literature across the Atlantic. Present in high intellectual institutions, he became a lecturer on this subject in many European and international countries.",1862,1947,FunckBrentanoFranz.jpg,France,https://fr.wikipedia.org/wiki/Frantz_Funck-Brentano
Gabriel Tarde,98,Person,Researcher,Sociology,Psychology,,,"Jean-Gabriel Tarde is a magistrate and specialist in social psychology. He rejects the theory that crime is a physical phenomenon, preferring instead the sociological and psychological aspects. He thus became one of the first thinkers of modern criminology, but he was eclipsed in favour of the Durkheimian school, another great thinker in this field at that time.",1843,1904,TardeGabriel.jpg,France,https://fr.wikipedia.org/wiki/Gabriel_Tarde
Gonzague de Reynold,99,Person,Helvetian theorist,History,,,,"At a time when Switzerland is embroiled in an internal conflict between Germanophiles and Francophiles, Gonzague de Reynold has set himself the task of reaffirming and redefining the Swiss identity (Helveticism) in order to preserve the country's independence. He also joined several international intellectual institutions such as the League of Nations. Anti-globalist and conservative, he is hostile to Paul Otlet's projects.",1880,1970,deReynoldGonzague.jpg,Swiss,https://fr.wikipedia.org/wiki/Gonzague_de_Reynold
Guilaume De Greef,100,Person,Researcher,Sociology,,,,"Associate Professor at the Faculty of Law and Professor at the School of Social Sciences of the Université nouvelle de Bruxelles, he founded with Hector Denis the newspaper La liberté to defend the proudhonian theses. As a positivist, he was inspired by the ideas of Herbert Spencer and Karl Marx. ",1842,1924,DeGreefGuilaume.jpg,Belgium,https://fr.wikipedia.org/wiki/Guillaume_De_Greef
Hendrik de Man,101,Person,Opponent to Otlet,Politics,,,,"A Marxist militant, he multiplied militant actions and joined the leadership of the Belgian Workers' Party (POB). As Belgian Minister of Public Works, then of Finance, he launched the Labour Plan to curb growing fascism, in vain. During the occupation of Belgium, he advised the king, encouraging collaboration with the Nazis. He went into exile before being found and tried for ""serving the politics and intentions of the enemy"".",1885,1953,deManHendrik.jpg,Belgium,https://fr.wikipedia.org/wiki/Henri_de_Man
Henry Evelyn Bliss,102,Person,Opponent to Otlet,Library,,,,"He is the inventor of an alternative documentary classification system, which breaks with traditional classification systems, according to him, stopped at a series of disciplines and whose referencing mode is vertical, limiting transdisciplinary references. The Bibliographic Classification was published in 1940.",1870,1955,BlissHenryEvelyn.jpg,United States,https://fr.wikipedia.org/wiki/Henry_Evelyn_Bliss
Igor Platounoff,103,Person,Collaborator of Otlet,Architecture,Art,,,"He is an architect in several countries, including Iraq, the United States and Europe, where he collaborates with Le Corbusier and other peers. He helps Paul Otlet on several occasions with logistics.",1917,,PlatounoffIgor.jpg,Belgium,
Jules Destree,104,Person,Activist,Politics,Law,,,"Jules Destrée leads a political career within the Belgian Workers' Party (POB). During the First World War, he carried out various diplomatic missions around the world. At the end of the conflict, he served as Minister of Arts and Sciences and created the Royal Academy of French Language and Literature of Belgium. He also campaigned for the cultural autonomy of Flanders and Wallonia.",1863,1936,DestreeJules.jpg,Belgium,https://fr.wikipedia.org/wiki/Jules_Destr%C3%A9e
Julian Huxley,105,Person,Researcher,Biology,,,,"He is the first director of the United Nations Educational, Scientific and Cultural Organization (UNESCO) and founded the World Wildlife Fund (WWF). A humanist, he worked with John Dewey and Albert Einstein to found the First Humanist Society of New York. He is also a strong supporter of ""left-wing"" eugenics as a means of improving the social conditions of the human population.",1887,1975,HuxleyJulian.jpg,United Kingdom,https://fr.wikipedia.org/wiki/Julian_Huxley
Maria Van Mons,106,Person,Mother of Paul Otlet,Otlet Family,,,,"Biological mother of Paul Otlet and first wife of his father, Edouard Otlet. She died three years after the birth of her son.",,1866,VanMonsMaria.jpg,Belgium,https://books.google.fr/books?id=I0vcDwAAQBAJ&pg=PT12&lpg=PT12&dq=Maria+Van+Mons+mundaneum&source=bl&ots=beageS0vpL&sig=ACfU3U2Z6eM-kaOsGjdoDGYdUyh1qSL2VQ&hl=fr&sa=X&ved=2ahUKEwj2k4em8pzpAhVWDmMBHcaRD-YQ6AEwAXoECAkQAQ#v=onepage&q=Maria%20Van%20Mons%20mundaneum&f=false
Nitobe Inazo,107,Person,Diplomat,Education,Law,Agronomy,,"He became the first Under-Secretary-General of the League of Nations when it was founded in 1920, and later the Director of the International Offices Section that would later become the United Nations Educational, Scientific and Cultural Organization (UNESCO). He was also a fervent Christian who worked hard to improve Japan's position in the world.",1862,1933,InazoNitobe.jpg,Japan,https://fr.wikipedia.org/wiki/Nitobe_Inaz%C5%8D
Octave Van Rysselberghe,108,Person,Architect,Architecture,,,,"He is an architect resulting from the Art Nouveau movement. He participates in the design of many tourist hotels, but also for private individuals as with the Hotel De Otlet and the Hotel De Brouckère, built from 1894 to 1898 for the lawyer.",1855,1929,VanRysselbergheOctave.jpg,Belgium,https://fr.wikipedia.org/wiki/Octave_Van_Rysselberghe
Paul Panda Farnana,109,Person,Activist,Agronomy,,,,"The first Congolese to have completed his higher education in Belgium, he returned to the country as a ""colonial agricultural engineer"", but also as a nationalist virulently denouncing the colonial methods put in place by the Belgians. He demands more equality and access to Belgian decision-making bodies for the Congolese. Together with Paul Otlet and W.E.B. Dubois, he organised the Second Pan-African Congress.",1888,1930,PandaFarnanaPaul.jpg,congo,https://fr.wikipedia.org/wiki/Paul_Panda_Farnana
Raphaël Deville,110,Person,Artist,Architecture,,,,"With the architects Le Corbusier and Stanislas Jasinski, he took part in drawing up the plans for the Cité Mondial-Mundaneum.",1894,1970,blank.jpg,Belgium,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&ved=2ahUKEwiAhv-s75zpAhWZCWMBHRbxDUkQFjAAegQIARAB&url=https%3A%2F%2Fwww.griffith.edu.au%2F__data%2Fassets%2Fpdf_file%2F0036%2F349776%2FS16_02_Van-Acker_Opening-the-Shrine-of-the-Mundaneum.pdf&usg=AOvVaw312u9cUmW2rCnae2uOmfjE
René Worms,111,Person,Politician,Sociology,Economics,,,"He is an agrégé de philisophie and founder of the Société de Sociologie de Paris. He will largely participate in structuring and constituting his discipline as an autonomous science. In January 1893, he founded the International Review of Sociology. However, he was in competition with his peers who divided this scientific field into several branches.",1869,1926,WormsRene.jpg,France,https://fr.wikipedia.org/wiki/Ren%C3%A9_Worms
Rodolph Carnap,112,Person,Researcher,Philosophy,,,,"A German philosopher and mathematician, he also studied physics. He fled Nazism to the United States and devoted himself to the philosophy of science and logic: he worked extensively on the influence of language on meaning and on analytical thinking, imagining a project for a family tree of scientific concepts.",1891,1970,CarnapRodolph.jpg,Germany,https://fr.wikipedia.org/wiki/Rudolf_Carnap
Samuel Clement Bradford,113,Person,Researcher,Mathematics,Library,Documentation,,"This British mathematician and librarian developed the ""Bradford's Law"" (or ""Law of Dispersion"") which paved the way for bibliometrics and citation analysis in scientific publications. He founded the British Society for International Bibliography (BSIB) and was appointed President of the International Federation for Information and Documentation (FID).",1878,1948,BradfordSamuelClement.jpg,United Kingdom,https://en.wikipedia.org/wiki/Samuel_C._Bradford
Stanislas Jasinski,114,Person,Researcher,Architecture,,,,"An apprentice architect, he arrived after the First World War in the devastated regions of northern France. He sees in the remaining shreds of the cities a lesson in urban anatomy. From 1923 to 1924 he worked in Paris with several architects, including Charles-Édouard Jeanneret-Gris, known as ""Le Corbusier"". He later worked on major works including the plans for the Mundaneum city.",1901,1978,JasinskiStanislas.jpg,Belgium,https://fr.wikipedia.org/wiki/Stanislas_Jasinski
Valérie Linden,115,Person,Second wife of Édouard Otlet,Otlet Family,,,,Stepmother of Paul Otlet and second wife of Edouard Otlet,1851,1944,blank.jpg,Belgium,https://www.kaowarsom.be/en/notices_linden_jean
Warden Boyd Rayward,116,Person,Researcher,Library,Documentation,History,,Warden Boyd Rayward is a researcher in library science. He received his Ph.D. and defended his thesis in 1973 on Paul Otlet. He dedicates several articles to him during his career between the United States and Europe.,1905,,RaywardWardenBoyd.jpg,Australia,https://en.wikipedia.org/wiki/W._Boyd_Rayward
William DuBois,117,Person,Activist,Sociology,History,Politics,,"The first African-American to earn a doctorate at Harvard University, he is a committed socialist and pacifist and travels the world. He fights colonialism and imperialism in Africa and Asia. He campaigns for equal rights for blacks and organizes with Paul Otlet and Paul Panda Farnana the Second Pan-African Congress.",1868,1963,DuBoisWilliam.jpg,United States,https://fr.wikipedia.org/wiki/W._E._B._Du_Bois
Godfrey Dewey,118,Person,Librarian,Library,Sport,,,American librarian and sportsman who will pursue the development of his father's CDD. He will also establish collaborative relationships with Otlet to reconcile the two classifications.,1887,1977,DeweyGodfrey.jpg,United States,https://fr.wikipedia.org/wiki/Godfrey_Dewey
UFOD,119,Organization,French Union of Documentation Organizations,Documentation,,,,Provides training for librarians,1932,,blank_organization.jpg,France,
Jean Gérard,120,Person,Librarian,Library,Information science,,,"Deputy Vice-President of the Société de Chimie Industrielle, President of the Permanent Commission for the Organization of International Industrial Chemistry Congresses, Managing Director of the Société de Productions Documentaires, he is also director of scientific and technical periodicals.",1890,1956,blank.jpg,France,
Georges B. Artsrouni,121,Person,"Engineer and inventor of the ""Mechanical Brain""",Engineering,,,,"A French engineer of Armenian origin, he studied in St. Petersburg. In 1933, he obtained a patent for what he himself called his ""mechanical brain"". It was a universal device with many uses. It was not originally a calculator but a universal memory device capable of retrieving and printing stored information. Artsrouni suggested that the device could be used to automatically generate train timetables, telephone directories, commercial telegraph codes, bank statements and even anthropometric directories. It has been argued that the device is suitable for use in cryptography, for decrypting and encoding messages, as well as for translation.",1893,1960,blank.jpg,France,
Union des associations internationales,122,Organization,Non-governmental organization,Politics,,,,"It is is a non-governmental organization created by Paul Otlet and Henri La Fontaine. Currently, this structure is under the mandate of the United Nations. One of the main activities of this institution is the publication of a directory which relates all the international activities.",1907,,blank_organization.jpg,Belgium,https://fr.wikipedia.org/wiki/Union_des_associations_internationales
Auguste Couvreur,123,Person,Politician,Politics,Education,Sociology,,"A liberal politician, Auguste Couvreur held several important positions during his life: founder of the Society for Social and Political Studies, President of the Education League, Grand Master of the Grand Orient of Belgium. He meets Henri La Fontaine at the Amis Philanthropes.",1827,1894,blank.jpg,Belgium,https://fr.wikipedia.org/wiki/Auguste_Couvreur
Les Amis Philanthropes,124,Organization,Belgian Masonic Lodge,Politics,,,,"Les Amis philanthropes (AP) is the name of one of the two oldest masonic lodges in Brussels, it is part of the Grand Orient of Belgium. It is in this lodge that the foundations of militant liberalism, anticlericalism and atheism are laid.",1798,,blank_organization.jpg,Belgium,https://fr.wikipedia.org/wiki/Les_Amis_philanthropes
Musée du livre,125,Organization,A pioneering museum,Museum,,,,"The Book Museum had a flourishing start with many supporters. Otlet is its director and spearhead, before gradually losing his influence.",1906,1950,blank_organization.jpg,Belgium,
Jean Capart,126,Person,"Egyptologist, museum curator and actor in the closure of the Mundaneum.",Museum,Archeology,,,Egyptologist and museum curator who complains about Otlet's influence and his occupation of the Palais du Cinquantenaire. He is one of those who participated in the closure of the Mundaneum in 1934.,1877,1947,blank_organization.jpg,Belgium,https://fr.wikipedia.org/wiki/Jean_Capart
Ernest de Potter,127,Person,Image collector,Museum,Photography,,,Actor of the photography museum,,,blank.jpg,,
Mary Kelsey,128,Person,International activist for pacifism and feminism,Politics,Feminism,Pacifism,,"Mary  Kelsey is an American internationalist, pacifist and feminist and philanthropist. With her husband, economics professor Francis W. Kelsey, she participated in activities with the Belgian Relief Fund during the First World War. In the 1920s, she co-organized the Honfleur summer conferences with Jeanne Mélin (French feminist). These meetings, taking place during the summers of 1923, 1925, 1925, should promote intellectual cooperation between nations, remove the younger generations from the grip of war by dispelling the misunderstandings conveyed by national propaganda.
Paul Otlet in his will wrote a letter to her dated 12/27/1938 (never sent) asking him if American institutions would be able to collect his intellectual legacy (Palais Mondial, Mundaneum).",1877,1948,KelseyMary.jpg,United States,https://hyperotlet-collections.huma-num.fr/s/site/item/695
